Date,Close
10/19/2016 16:00:00,14.09
10/20/2016 16:00:00,13.94
10/21/2016 16:00:00,13.82
10/24/2016 16:00:00,14.01
10/25/2016 16:00:00,14.41
10/26/2016 16:00:00,14.8
10/27/2016 16:00:00,15.82
10/28/2016 16:00:00,16.74
10/31/2016 16:00:00,18.25
11/1/2016 16:00:00,17.95
11/2/2016 16:00:00,15.36
11/3/2016 16:00:00,15.32
11/4/2016 16:00:00,15.2
11/7/2016 16:00:00,15.21
11/8/2016 16:00:00,15.89
11/9/2016 16:00:00,16.27
11/10/2016 16:00:00,16.84
11/11/2016 16:00:00,17.5
11/14/2016 16:00:00,17.6
11/15/2016 16:00:00,18.15
11/16/2016 16:00:00,21.58
11/17/2016 16:00:00,21.8
11/18/2016 16:00:00,20.5
11/21/2016 16:00:00,20.8
11/22/2016 16:00:00,20.07
11/23/2016 16:00:00,19.34
11/25/2016 16:00:00,20.4
11/28/2016 16:00:00,20.56
11/29/2016 16:00:00,23.07
11/30/2016 16:00:00,21.82
12/1/2016 16:00:00,19.98
12/2/2016 16:00:00,19.03
12/5/2016 16:00:00,20.94
12/6/2016 16:00:00,22.23
12/7/2016 16:00:00,20.89
12/8/2016 16:00:00,21.1
12/9/2016 16:00:00,20.77
12/12/2016 16:00:00,20.36
12/13/2016 16:00:00,19.6
12/14/2016 16:00:00,19.11
12/15/2016 16:00:00,19.18
12/16/2016 16:00:00,19.52
12/19/2016 16:00:00,20.55
12/20/2016 16:00:00,20.18
12/21/2016 16:00:00,20.28
12/22/2016 16:00:00,20.12
12/23/2016 16:00:00,20.86
12/27/2016 16:00:00,21.02
12/28/2016 16:00:00,20
12/29/2016 16:00:00,20.03
12/30/2016 16:00:00,20.26
1/3/2017 16:00:00,22.5
1/4/2017 16:00:00,23.55
1/5/2017 16:00:00,22.96
1/6/2017 16:00:00,22.54
1/9/2017 16:00:00,22.89
1/10/2017 16:00:00,22.99
1/11/2017 16:00:00,22.39
1/12/2017 16:00:00,22.23
1/13/2017 16:00:00,21.14
1/17/2017 16:00:00,21.5
1/18/2017 16:00:00,22.23
1/19/2017 16:00:00,21.03
1/20/2017 16:00:00,20
1/23/2017 16:00:00,18.54
1/24/2017 16:00:00,18.95
1/25/2017 16:00:00,18.84
1/26/2017 16:00:00,18.58
1/27/2017 16:00:00,18.43
1/30/2017 16:00:00,17.74
1/31/2017 16:00:00,17.75
2/1/2017 16:00:00,17.22
2/2/2017 16:00:00,16.26
2/3/2017 16:00:00,15.65
2/6/2017 16:00:00,15.75
2/7/2017 16:00:00,15.22
2/8/2017 16:00:00,14.9
2/9/2017 16:00:00,14.78
2/10/2017 16:00:00,15.01
2/13/2017 16:00:00,16.43
2/14/2017 16:00:00,17.26
2/15/2017 16:00:00,15.9
2/16/2017 16:00:00,18.49
2/17/2017 16:00:00,18.07
2/21/2017 16:00:00,17.3
2/22/2017 16:00:00,17.71
2/23/2017 16:00:00,17.64
2/24/2017 16:00:00,17.9
2/27/2017 16:00:00,19.95
2/28/2017 16:00:00,23.73
3/1/2017 16:00:00,22.47
3/2/2017 16:00:00,21.54
3/3/2017 16:00:00,21.14
3/6/2017 16:00:00,21.88
3/7/2017 16:00:00,21.34
3/8/2017 16:00:00,22.43
3/9/2017 16:00:00,21.37
3/10/2017 16:00:00,21.15
3/13/2017 16:00:00,21.17
3/14/2017 16:00:00,21.34
3/15/2017 16:00:00,21
3/16/2017 16:00:00,20.49
3/17/2017 16:00:00,20.75
3/20/2017 16:00:00,21.24
3/21/2017 16:00:00,19.72
3/22/2017 16:00:00,18.68
3/23/2017 16:00:00,17.81
3/24/2017 16:00:00,17.88
3/27/2017 16:00:00,18.24
3/28/2017 16:00:00,20.42
