Date,Close
9/5/17,20.2
9/6/17,18.47
9/7/17,19.1
9/8/17,18.74
9/11/17,19.15
9/12/17,18.92
9/13/17,19.04
9/14/17,19.1
9/15/17,19.19
9/18/17,19.07
9/19/17,18.75
9/20/17,18.92
9/21/17,19.02
9/22/17,18.97
9/25/17,18.95
9/26/17,17.02
9/27/17,16.77
9/28/17,17.51
9/29/17,17.87
10/2/17,18.39
10/3/17,19.12
10/4/17,19.09
10/5/17,19.19
10/6/17,19.3
10/9/17,19.7
10/10/17,19.45
10/11/17,18.8
10/12/17,18.72
10/13/17,18.42
10/16/17,18.44
10/17/17,18.3
10/18/17,17.79
10/19/17,18.97
10/20/17,19.07
10/23/17,19.4
10/24/17,19.29
10/25/17,18.94
10/26/17,18.49
10/27/17,18.95
10/30/17,19.01
10/31/17,19.3
11/1/17,18.43
11/2/17,18.67
11/3/17,19.05
11/6/17,18.91
11/7/17,18.13
11/8/17,17.94
11/9/17,16.95
11/10/17,17.45
11/13/17,17.75
11/14/17,17.46
11/15/17,17.66
11/16/17,18.42
11/17/17,18.59
11/20/17,19.04
11/21/17,19.09
11/22/17,19.81
11/24/17,20.02
11/27/17,19.55
11/28/17,19.21
11/29/17,18.66
11/30/17,18.99
12/1/17,19.12
12/4/17,18.26
12/5/17,18.52
12/6/17,18.53
12/7/17,19.14
12/8/17,18.88
12/11/17,18.41
12/12/17,17.89
12/13/17,18.3
12/14/17,19.05
12/15/17,19.17
12/18/17,19.94
12/19/17,19.1
12/20/17,19.01
12/21/17,19.58
12/22/17,21.15
12/26/17,21.29
12/27/17,21.09
12/28/17,21.25
12/29/17,23.48
1/2/18,25.17
1/3/18,23.52
1/4/18,23.91
1/5/18,26.81
1/8/18,26.07
1/9/18,25.49
1/10/18,25.77
1/11/18,28.44
1/12/18,28.52
1/16/18,27.18
1/17/18,28.34
1/18/18,30.08
1/19/18,29.73
1/22/18,33.75
1/23/18,38.78
1/24/18,37.46
1/25/18,40.45
1/26/18,39.45
1/29/18,44.39
1/30/18,41.7
1/31/18,39.28
2/1/18,38.48
2/2/18,36.91
2/5/18,35.63
2/6/18,36.56
2/7/18,41.67
2/8/18,38.64
2/9/18,34.88
2/12/18,37.37
2/13/18,40.11
2/14/18,40.21
2/15/18,40.62
2/16/18,40.01
2/20/18,41.61
2/21/18,41.16
2/22/18,41.92
2/23/18,43.04
2/26/18,48.34
2/27/18,46.29
2/28/18,48.46
3/1/18,46.54
3/2/18,50.02
3/5/18,49.4
3/6/18,48.93
3/7/18,51.49
3/8/18,53.7
3/9/18,56.72
3/12/18,56.8
3/13/18,56.51
3/14/18,58.17
3/15/18,52.6
3/16/18,51.77
3/19/18,51.52
3/20/18,52.56
3/21/18,52.16
3/22/18,52.1
3/23/18,52.96
3/26/18,52.27
3/27/18,44.68
3/28/18,44.86
3/29/18,45.71
4/2/18,43.27
4/3/18,42.62
4/4/18,44.15
4/5/18,42.67
4/6/18,43.27
4/9/18,44.86
4/10/18,49.27
4/11/18,49.81
4/12/18,52.56
4/13/18,51.77
4/16/18,51.18
4/17/18,52.73
4/18/18,53.22
4/19/18,57.42
4/20/18,54.07
4/23/18,49.6
4/24/18,47.27
4/25/18,47.78
4/26/18,50.07
4/27/18,48.91
4/30/18,46.86
5/1/18,47.41
5/2/18,48.52
5/3/18,47.77
5/4/18,49.09
5/7/18,51.72
5/8/18,51.97
5/9/18,51.5
5/10/18,52.12
5/11/18,52.73
5/14/18,56.78
5/15/18,57.75
5/16/18,57.65
5/17/18,65.4
5/18/18,65.4
5/21/18,64.6
5/22/18,63.76
5/23/18,69.57
5/24/18,69.65
5/25/18,69.94
5/29/18,68.91
5/30/18,73.59
5/31/18,68.91
6/1/18,67.13
6/4/18,65.97
6/5/18,66.95
6/6/18,67.84
6/7/18,67.01
6/8/18,68.15
6/11/18,59.57
6/12/18,59.34
6/13/18,57
6/14/18,59.06
6/15/18,59.31
6/18/18,62.63
6/19/18,62.06
6/20/18,65.26
6/21/18,65.14
6/22/18,62.78
6/25/18,61.67
6/26/18,64.1
6/27/18,60.08
6/28/18,58.79
6/29/18,58.76
7/2/18,60.05
7/3/18,61.26
7/5/18,61.74
7/6/18,62.88
7/9/18,63.21
7/10/18,62.21
7/11/18,64.19
7/12/18,65.05
7/13/18,65.71
7/16/18,60.06
7/17/18,62.01
7/18/18,58.53
7/19/18,58.39
7/20/18,58.35
7/23/18,57.27
7/24/18,51.81
7/25/18,50.82
7/26/18,49.77
7/27/18,47.01
7/30/18,47.15
7/31/18,47.74
8/1/18,48.43
8/2/18,48.78
8/3/18,47.53
8/6/18,48.43
8/7/18,48.64
8/8/18,47.1
8/9/18,47.95
8/10/18,47.11
8/13/18,47.07
8/14/18,47.86
8/15/18,47.06
8/16/18,50
8/17/18,48.67
8/20/18,48.92
8/21/18,51.54
8/22/18,48.89
8/23/18,48.57
8/24/18,48.42
8/27/18,48.94
8/28/18,51.15
